2015/03/07,龍潭,PM2.5,11,9,15,11,12,7,9,10,11,12,6,12,16,20,26,23,20,12,13,11,16,9,10,4
2015/03/08,龍潭,PM2.5,3,3,7,10,11,13,14,21,12,15,14,18,20,21,20,16,11,17,12,9,3,6,12,16
2015/03/09,龍潭,PM2.5,14,26,22,33,22,29,25,32,29,41,27,28,8,8,10,25,28,29,16,14,7,11,18,18
2015/03/10,龍潭,PM2.5,18,19,23,27,25,23,18,20,21,26,27,31,35,36,38,36,33,30,30,22,20,15,15,12
2015/03/11,龍潭,PM2.5,10,16,11,14,8,11,3,3,1,8,9,14,9,10,10,11,11,12,10,9,5,5,6,4
2015/03/12,龍潭,PM2.5,6,4,8,4,6,2,7,5,15,14,18,14,11,23.54,13,13,20,16,16,21,21,21,16,17
2015/03/13,龍潭,PM2.5,19,14,16,16,21,19,18,13,8,5,12,16,17,17,24,26,22,17,15,25,35,42,34,24
2015/03/14,龍潭,PM2.5,21,17,17,23,33,36,38,34,33,30,37,51,61,54,49,36,39,42,39,39,31,40,37,47
2015/03/15,龍潭,PM2.5,46,49,42,39,37,29,27,23,26,29,34,31,30,29,39,48,50,56,49,56,65,73,71,52
2015/03/16,龍潭,PM2.5,49,45,49,47,49,49,48,48,52,54,60,64,62,49,38,32,37,34,38,51,65,74,64,67
2015/03/17,龍潭,PM2.5,61,54,45,33,39,31,34,39,40,42,39,41,46,56,59,60,51,52,50,40,35,33,40,46
2015/03/18,龍潭,PM2.5,41,39,31,33,28,25,19,24,24,25,23,28,35,36,29,22,19,16,16,15,21,17,15,6
2015/03/19,龍潭,PM2.5,9,13,16,19,20,25,22,26,27,32,35,39,37,29,25,30,34,38,32,33,27,30,35,37
2015/03/20,龍潭,PM2.5,35,30,34,32,29,28,23,25,23,30,33,42,47,49,39,34,28,26,25,28,34,43,43,51
2015/03/21,龍潭,PM2.5,34,24,4,12,14,18,9,13,21,28,29,22,23,19,17,14,19,18,16,13,17,14,15,16
2015/03/22,龍潭,PM2.5,26,19,20,20,20,18,17,21,28,34,50,55,53,46,41,40,40,39,45,42,47,40,38,37
2015/03/23,龍潭,PM2.5,39,42,37,33,31,26,27,25,26,20,18,20,24,21,23.65,19,12,14,10,12,9,8,9,8
2015/03/24,龍潭,PM2.5,8,4,7,7,12,5,10,6,15,11,19,11,19,12,12,1,8,10,10,7,10,20,15,17
2015/03/25,龍潭,PM2.5,8,9,9,10,11,3,1,5,8,8,7,9,9,10,6,8,6,13,11,8,5,9,8,5
2015/03/26,龍潭,PM2.5,4,6,6,4,7,9,7,10,10,19,14,17,9,15,9,16,13,19,14,16,17,15,12,9
2015/03/27,龍潭,PM2.5,7,4,8,9,9,5,4,7,10,15,15,11,6,8,9,18,14,19,20,20,25,25,26,21
2015/03/28,龍潭,PM2.5,13,20,13,12,10,16,17,11,13,15,20,19,17,15,14,23,22,26,27,36,34,32,20,24
2015/03/29,龍潭,PM2.5,20,28,19,15,11,19,22,21,20,20,29,28,29,26,24,25,24,26,30,37,39,31,27,25
2015/03/30,龍潭,PM2.5,31,30,29,20,17,29,40,40,29,24,26,22,23,22,30,32,25,25,20,26,29,30,31,23
2015/03/31,龍潭,PM2.5,20,15,18,16,20,21,27,27,28,30,29,26,27,23,20,20,19,23,12,20,13,20,16,20
2015/04/01,龍潭,PM2.5,34,35,36,26,25,31,26,28,28,26,23,24,37,34,31,20,27,20,19,14,16,16,18,24
2015/04/02,龍潭,PM2.5,29,24,20,14,17,18,15,17,24,32,35,31,33,39,31,25,15,17,12,15,13,22,23,23
2015/04/03,龍潭,PM2.5,29,28,30,20,17,16,21,17,21,14,29,28,34,29,26,17,16,18,23,16,20,27,30,25
